#ID;S1;S2;S3;S4
n__root|n__cellular_organisms|d__Bacteria_2|p__Firmicutes|c__Clostridia|o__Halanaerobiales|f__Halanaerobiaceae|g__Halanaerobium;5751;3167;3843;6213
n__root|n__cellular_organisms|d__Bacteria_2|p__Proteobacteria|c__Gammaproteobacteria|o__Alteromonadales|f__Alteromonadaceae;5460;2463;3253;7216
n__root|n__cellular_organisms|d__Bacteria_2|p__Proteobacteria|n__delta/epsilon_subdivisions|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Desulfovibrio|s__Desulfovibrio_desulfuricans|n__Desulfovibrio_desulfuricans_ND132;5163;1245;1614;2075
n__root|n__cellular_organisms|d__Bacteria_2|p__Proteobacteria|n__delta/epsilon_subdivisions|c__Deltaproteobacteria|o__Desulfuromonadales;4881;2749;3734;6610
n__root|n__cellular_organisms|d__Bacteria_2|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Comamonadaceae;4795;2371;3441;4605
n__root|n__cellular_organisms|d__Bacteria_2|p__Proteobacteria|c__Gammaproteobacteria|n__unclassified_Gammaproteobacteria|s__Thiobacillus_prosperus;4703;2872;0;0
n__root|n__cellular_organisms|d__Bacteria_2|p__Firmicutes|c__Clostridia|o__Halanaerobiales|f__Halanaerobiaceae|g__Halanaerobium|s__Halanaerobium_hydrogeniformans;4222;1855;3142;4808
n__root|n__cellular_organisms|d__Bacteria_2|p__Proteobacteria|n__delta/epsilon_subdivisions|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Desulfovibrio|s__Desulfovibrio_profundus;4074;2685;1936;4246
n__root|n__cellular_organisms|d__Bacteria_2|p__Proteobacteria|n__delta/epsilon_subdivisions|c__Deltaproteobacteria|o__Desulfuromonadales|g__Pelobacter|s__Pelobacter_acetylenicus;3797;2447;2209;5307
n__root|n__cellular_organisms|d__Bacteria_2|p__Proteobacteria|c__Gammaproteobacteria|o__Oceanospirillales;3780;1762;3976;5577
n__root|n__cellular_organisms|d__Bacteria_2|p__Proteobacteria|c__Gammaproteobacteria|o__Chromatiales|f__Ectothiorhodospiraceae|g__Halorhodospira|s__Halorhodospira_halochloris;3745;4419;2460;10994
n__root|n__cellular_organisms|d__Bacteria_2|p__Proteobacteria|n__delta/epsilon_subdivisions|c__Deltaproteobacteria|o__Desulfobacterales|f__Desulfobacteraceae|g__Desulfococcus|s__Desulfococcus_multivorans;3657;3316;2532;8921
n__root|n__cellular_organisms|d__Bacteria_2|p__Proteobacteria|c__Betaproteobacteria|s__Hydrogenophilus_thermoluteolus;3656;2100;2147;2936
n__root|n__cellular_organisms|d__Bacteria_2|p__Proteobacteria|n__delta/epsilon_subdivisions|c__Deltaproteobacteria|s__delta_proteobacterium_PP31;3573;3675;2263;9568
n__root|n__cellular_organisms|d__Bacteria_2|p__Proteobacteria|c__Gammaproteobacteria|o__Alteromonadales;3517;1564;2668;5395
n__root|n__cellular_organisms|d__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanosarcinales|f__Methanosarcinaceae|g__Methanococcoides|n__Methanococcoides_burtonii_DSM_6242;3427;1830;2379;2824
n__root|n__cellular_organisms|d__Bacteria_2|p__Proteobacteria|n__delta/epsilon_subdivisions|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Desulfovibrio;3242;2310;1966;4814
n__root|n__cellular_organisms|d__Bacteria_2|p__Proteobacteria|n__delta/epsilon_subdivisions|c__Deltaproteobacteria|o__Desulfobacterales|f__Desulfobacteraceae|g__Desulfobacter|n__Desulfobacter_postgatei_2ac9;3127;1682;1905;4282
n__root|n__cellular_organisms|d__Bacteria_2|p__Proteobacteria|n__delta/epsilon_subdivisions|c__Deltaproteobacteria|o__Desulfuromonadales|f__Geobacteraceae|g__Geobacter|s__Geobacter_sp._M18;2892;2475;1648;5071
n__root|n__cellular_organisms|d__Bacteria_2|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Pseudomonas|n__Pseudomonas_stutzeri_group|s__Pseudomonas_balearica|n__Pseudomonas_balearica_DSM_6083;2879;1024;647;711
n__root|n__cellular_organisms|d__Bacteria_2|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales|f__Aeromonadaceae|g__Aeromonas;2824;1182;1665;2563
n__root|n__cellular_organisms|d__Bacteria_2|p__Firmicutes|c__Clostridia;2804;1435;2334;3991
n__root|n__cellular_organisms|d__Bacteria_2|p__Proteobacteria|n__delta/epsilon_subdivisions|c__Deltaproteobacteria|o__Desulfobacterales|f__Desulfobacteraceae|g__Desulfosarcina;2776;2969;1822;7346
n__root|n__cellular_organisms|d__Bacteria_2|n__Bacteroidetes/Chlorobi_group|p__Bacteroidetes|o__Flavobacteriales|f__Flavobacteriaceae;2687;911;2484;2556
n__root|n__cellular_organisms|d__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanosarcinales|f__Methanosarcinaceae|n__Methanosalsum_zhilinae_DSM_4017;2681;1335;1897;2266
n__root|n__cellular_organisms|d__Bacteria_2|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae;2679;1036;1610;2562
n__root|n__cellular_organisms|d__Bacteria_2|p__Actinobacteria_201174|c__Actinobacteria_1760|o__Propionibacteriales|f__Propionibacteriaceae|g__Propionibacterium|s__Propionibacterium_acnes;2593;2023;772;550
n__root|n__cellular_organisms|d__Bacteria_2|p__Proteobacteria|n__delta/epsilon_subdivisions|c__Deltaproteobacteria|o__Desulfovibrionales;2507;1741;1793;3391
n__root|n__cellular_organisms|d__Bacteria_2|p__Proteobacteria|n__delta/epsilon_subdivisions|c__Deltaproteobacteria|o__Desulfobacterales|f__Desulfobacteraceae|g__Desulfosarcina|s__Desulfosarcina_ovata;2493;2546;1560;7068
n__root|n__cellular_organisms|d__Bacteria_2|p__Proteobacteria|n__delta/epsilon_subdivisions|c__Deltaproteobacteria|o__Desulfuromonadales|g__Pelobacter|n__Pelobacter_carbinolicus_DSM_2380;2492;1470;1545;2638
n__root;2472;1499;1905;2395
n__root|n__cellular_organisms|d__Bacteria_2|c__Deinococci|f__Thermaceae|g__Thermus|s__Thermus_scotoductus|n__Thermus_scotoductus_SA-01;2429;1130;1412;1701
n__root|n__cellular_organisms|d__Bacteria_2|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Pseudomonas|n__Pseudomonas_stutzeri_group|s__Pseudomonas_stutzeri|n__Pseudomonas_stutzeri_CCUG_29243;2411;851;1321;1246
n__root|n__cellular_organisms|d__Bacteria_2|p__Proteobacteria|n__delta/epsilon_subdivisions|c__Deltaproteobacteria|o__Desulfobacterales|f__Desulfobacteraceae|g__Desulfobacter|s__Desulfobacter_hydrogenophilus;2312;1869;1441;4815
n__root|n__cellular_organisms|d__Bacteria_2|c__Deinococci|f__Thermaceae|g__Thermus;2276;1110;1437;1863
n__root|n__cellular_organisms|d__Bacteria_2|p__Proteobacteria|c__Gammaproteobacteria|o__Oceanospirillales|f__Halomonadaceae|g__Halomonas|s__Halomonas_sp._A3H3;2276;4644;1348;13011
n__root|n__cellular_organisms|d__Bacteria_2|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales;2251;1575;1715;4165
n__root|n__cellular_organisms|d__Bacteria_2|p__Proteobacteria|c__Gammaproteobacteria|o__Alteromonadales|f__Shewanellaceae|g__Shewanella|s__Shewanella_chilikensis;2195;807;1234;1008
n__root|n__cellular_organisms|d__Bacteria_2|p__Proteobacteria|n__delta/epsilon_subdivisions|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Desulfovibrio|n__Desulfovibrio_aespoeensis_Aspo-2;2165;1327;1302;2330
n__root|n__cellular_organisms|d__Bacteria_2|c__Spirochaetia|o__Spirochaetales|f__Spirochaetaceae|s__Salinispira_pacifica;2047;833;1025;1492
n__root|n__cellular_organisms|d__Bacteria_2|p__Proteobacteria|n__delta/epsilon_subdivisions|c__Deltaproteobacteria|o__Desulfobacterales|f__Desulfobacteraceae|s__Desulfatibacillum_aliphaticivorans;2034;2177;1536;6408
n__root|n__cellular_organisms|d__Bacteria_2|c__Thermotogae_188708|f__Kosmotogaceae|g__Mesotoga|n__Mesotoga_prima_MesG1.Ag.4.2;2030;886;1694;1583
n__root|n__cellular_organisms|d__Bacteria_2|p__Proteobacteria|c__Gammaproteobacteria|o__Alteromonadales|f__Alteromonadaceae|g__Marinobacter|s__Marinobacter_sp._BSs20148;2026;1004;977;2474
n__root|n__cellular_organisms|d__Bacteria_2|n__Bacteroidetes/Chlorobi_group|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|g__Draconibacterium|s__Draconibacterium_orientale;2001;841;1306;1982
