#ID;S1;S2;S3;S4;S5;S6;S7;S8;S9;S10;S11;S12;S13;S14;S15;S16;S17;S18;S19;S20;S21;S22
d__Bacteria_2|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Escherichia|s__Escherichia_coli;309;464;798;391;36;33;59;34;291;915;267;454;569;394;36;38;37;36;307;1079;130;81
d__Bacteria_2|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Methylobacteriaceae|g__Methylobacterium|s__Methylobacterium_sp._XJLW;154;355;249;173;1;0;0;1;68;45;227;445;227;146;1;2;0;0;108;90;2;27
d__Bacteria_2|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Bradyrhizobiaceae|g__Bradyrhizobium|s__Bradyrhizobium_genosp._L;149;418;313;224;1;1;0;0;94;61;201;442;283;216;1;0;0;0;118;86;3124;1598
d__Bacteria_2|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Moraxellaceae|g__Acinetobacter|s__Acinetobacter_johnsonii;277;809;315;301;15;34;8;13;224;174;319;414;356;1652;22;13;2;13;247;227;3860;7348
d__Bacteria_2|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Burkholderia|s__Burkholderia_metallica;111;443;268;263;1;0;0;0;72;67;193;403;204;187;0;0;0;1;127;55;1;0
d__Bacteria_2|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Methylobacteriaceae|g__Methylobacterium|s__Methylobacterium_brachiatum;139;416;341;130;2;0;0;0;101;38;176;378;239;190;0;0;0;0;75;96;83;121
d__Bacteria_2|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus|s__Staphylococcus_capitis;202;366;339;166;6;15;49;4;93;105;187;357;257;209;9;9;8;7;70;83;0;48
d__Bacteria_2|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Bradyrhizobiaceae|g__Bradyrhizobium|s__Bradyrhizobium_erythrophlei;119;323;214;117;0;0;0;4;79;46;187;338;210;170;0;1;0;1;79;87;781;287
d__Bacteria_2|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Bradyrhizobiaceae|g__Bradyrhizobium|s__Bradyrhizobium_betae;132;356;296;128;2;1;4;0;79;35;180;331;211;161;3;0;0;0;140;85;457;411
d__Bacteria_2|p__Actinobacteria_201174|c__Actinobacteria_1760|o__Propionibacteriales|f__Propionibacteriaceae|g__Propionibacterium|s__Propionibacterium_sp._oral_taxon_193;155;531;180;208;5;3;21;3;51;37;175;302;144;187;0;2;0;1;73;49;0;5
d__Bacteria_2|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Burkholderia|s__Burkholderia_cepacia;108;305;242;188;6;0;1;0;57;74;138;300;202;137;0;0;0;0;61;59;0;0
d__Bacteria_2|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_crispatus;2470;416;4884;284;5;3;6;5;1023;874;2798;298;4621;235;1;7;2;1;1494;1217;18;3
d__Bacteria_2|p__Actinobacteria_201174|c__Actinobacteria_1760|o__Micrococcales|f__Micrococcaceae|g__Rothia_32207|s__Rothia_amarae;32;470;2471;133;1;2;19;1;785;420;47;298;1796;159;0;3;0;1;483;508;1;0
d__Bacteria_2|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Ralstonia|s__Ralstonia_solanacearum;119;258;228;169;1;0;0;0;76;26;161;280;207;131;0;3;0;0;77;46;127;355
d__Bacteria_2|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Methylobacteriaceae|g__Methylobacterium|s__Methylobacterium_sp._C1;70;196;185;110;1;1;1;0;31;29;107;246;139;69;0;0;0;0;36;44;3;53
d__Bacteria_2|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus|s__Staphylococcus_warneri;50;245;196;59;0;4;6;2;31;41;41;245;118;45;0;0;1;0;100;22;0;1
d__Bacteria_2|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Bradyrhizobiaceae|g__Bradyrhizobium|s__Bradyrhizobium_japonicum;117;175;202;139;0;4;0;0;70;33;122;222;207;139;0;1;0;1;62;59;738;2132
d__Bacteria_2|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Methylobacteriaceae|g__Methylobacterium|s__Methylobacterium_oryzae;79;239;159;78;1;0;0;0;40;22;128;221;125;80;0;0;0;0;62;46;3;49
d__Bacteria_2|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__Sphingomonas|s__Sphingomonas_alpina;86;223;166;108;1;0;1;0;35;28;120;217;155;107;0;1;0;0;64;46;48;408
d__Bacteria_2|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Methylobacteriaceae|g__Methylobacterium|s__Methylobacterium_radiotolerans;57;208;122;87;0;0;1;1;68;34;82;215;91;108;0;2;0;1;34;35;33;19
d__Bacteria_2|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__Sphingomonas|s__Sphingomonas_paucimobilis;359;118;97;73;2;0;0;1;36;32;530;210;87;80;1;0;0;0;48;32;12;15
d__Bacteria_2|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_oralis;3;360;24;26;0;2;76;0;8;18;9;208;8;23;0;2;5;0;2;6;4;0
d__Bacteria_2|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus|s__Staphylococcus_condimenti;42;38;55;18;0;0;0;0;2;1;11;198;150;7;0;4;0;1;0;3;0;0
d__Bacteria_2|p__Actinobacteria_201174|c__Rubrobacteria|o__Rubrobacterales|f__Rubrobacteraceae|g__Rubrobacter|s__Rubrobacter_xylanophilus;60;166;201;33;0;0;1;0;54;21;65;194;234;24;0;0;0;0;81;39;0;0
d__Bacteria_2|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Pseudomonas|s__Pseudomonas_fluorescens;205;119;28;19;5;18;3;6;5;3;186;191;9;13;8;7;10;17;26;39;315;34917
d__Bacteria_2|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales|f__Rhodobacteraceae|g__Paracoccus_265|s__Paracoccus_yeei;32;38;12;217;6;2;13;1;45;4;12;191;29;41;3;0;1;1;40;1;0;2
d__Bacteria_2|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Pseudomonas|s__Pseudomonas_putida;72;210;285;89;21;21;19;12;50;33;93;187;157;138;15;17;8;20;59;52;836;925
d__Bacteria_2|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Moraxellaceae|g__Acinetobacter|s__Acinetobacter_lwoffii;209;175;156;58;1;4;0;4;39;40;301;186;117;144;2;3;1;0;68;27;9;250
d__Bacteria_2|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Neisseriaceae|g__Neisseria|s__Neisseria_mucosa;19;127;95;49;1;2;230;1;23;14;26;161;22;27;0;0;4;0;7;6;0;0
